Parv Fastfood & Restaurant,"Shop No.188, M P Nagar, Bhopal - 462011, Near Milan Sweets (Map)",4.3,-9152669275,19,https://www.justdial.com/Bhopal/Parv-Fastfood-Restaurant-Near-Milan-Sweets-M-P-Nagar/0755PX755-X755-160913163253-G3H9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 11:00 pm
Menu Cafe Restaurant,"G/2 -219 First Floor Gulmohar, Gulmohar Colony, Bhopal - 462039, Opposite Savoy Complex",4.7,-9152688101,61,https://www.justdial.com/Bhopal/Menu-Cafe-Restaurant-Opposite-Savoy-Complex-Gulmohar-Colony/0755PX755-X755-180607164025-Y6M9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:00 am - 11:30 pm
The Tropical Trunk,"Block B, Balaji Nagar, Narela Shankari, Ayodhya Nagar, Bhopal - 462041, Besides Shravan Kaanta Marriage Garden (Map)",3.5,-9152826081,2,https://www.justdial.com/Bhopal/The-Tropical-Trunk-Besides-Shravan-Kaanta-Marriage-Garden-Ayodhya-Nagar/0755PX755-X755-180522204017-W4P4_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Naivaidyam Restaurant,"Plot No 182, Zone 1, M P Nagar, Bhopal - 462011, Near Milan Sweets (Map)",4.5,-9152650522,5,https://www.justdial.com/Bhopal/Naivaidyam-Restaurant-Near-Milan-Sweets-M-P-Nagar/0755PX755-X755-160624170450-N2Z5_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 11:00 pm
Cafe Egg N I,"Shop No. 216, Raisen Road, Indrapuri, Bhopal - 462023, Near Gourav Dairy (Map)",5,-9152820893,1,https://www.justdial.com/Bhopal/Cafe-Egg-N-I-Near-Gourav-Dairy-Indrapuri/0755PX755-X755-180223193218-N8E5_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:30 am - 11:00 pm
Sharma Fast Food Corner,"L15, Earning Point, Colony Road, Kolar Road, Bhopal - 462042, Near Bata Showroom,Opposite DDX Cinemas (Map)",3.5,-9152523726,12,https://www.justdial.com/Bhopal/Sharma-Fast-Food-Corner-Near-Bata-Showroom-Opposite-DDX-Cinemas-Kolar-Road/0755PX755-X755-161216124816-H1B7_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Shree Chingara Family Resta..,"Plot No 152, Zone-1, M P Nagar, Bhopal - 462011, Behind Axis Bank (Map)",4.1,-9152664006,7,https://www.justdial.com/Bhopal/Shree-Chingara-Family-Restaurant-Behind-Axis-Bank-M-P-Nagar/0755PX755-X755-161123144507-Z2D6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 10:30 pm
Khan Chacha Restaurant,"42 C Basement 1, Masjid Road, Indrapuri, Bhopal - 462023, Near Aman Trader (Map)",4.8,-9152958592,5,https://www.justdial.com/Bhopal/Khan-Chacha-Restaurant-Near-Aman-Trader-Indrapuri/0755PX755-X755-180116131727-F8P2_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Zaika Hakeem,"Shop No-11, 12, 17, 18, Ayodhya Bypaas Road, Piplani, Bhopal - 462022, Aapurti Super Bazar (Map)",4,-9152658672,3,https://www.justdial.com/Bhopal/Zaika-Hakeem-Aapurti-Super-Bazar-Piplani/0755PX755-X755-170812133805-D9P4_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:00 am - 11:00 pm
Ajs CAFE,"Shop No-4, Mp Nagar Road, M P Nagar, Bhopal - 462011, Near Time (Map)",4.8,-9152657375,2,https://www.justdial.com/Bhopal/Ajs-CAFE-Near-Time-M-P-Nagar/0755PX755-X755-170928124238-N6I8_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:30 am - 11:00 pm
Amer Bakery Hut,"Tarun Prakash Swimming Pool Campus, Link Road No 1, New Market, Bhopal - 462003, Opposite Arera Club (Map)",4,-9152523681,32,https://www.justdial.com/Bhopal/Amer-Bakery-Hut-Opposite-Arera-Club-New-Market/0755PX755-X755-140807163037-N7C6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
